INSTNM,CITY,STABBR,ZIP,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL,COSTT4_A,RET_FT4,DEBT_MDN,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,AccredAgency
Fortis College-Mobile,Mobile,AL,36609,3,30.6622,-88.1351,NULL,NULL,16035,NULL,9413.5,359,0.2618,0.6964,0.0139,0.0084,0.0028,0,Accrediting Bureau of Health Education Schools
Arkansas Beauty School,Conway,AR,72032,3,35.0931,-92.4403,NULL,NULL,NULL,NULL,7013,36,0.5,0.4722,0.0278,0,0,0,National Accrediting Commission of Career Arts and Sciences
Everest College-Ontario,Ontario,CA,91761-2338,3,34.0468,-117.559,NULL,NULL,NULL,NULL,9500,782,0.1777,0.1074,0.5627,0.0384,0.0115,0.0141,Accrediting Commission of Career Schools and Colleges
Downey Adult School,Downey,CA,90241,1,33.9196,-118.1166,NULL,NULL,NULL,NULL,NULL,1317,0.0676,0.0387,0.8443,0.0433,0.003,0.003,Council on Occupational Education
Heald College-Stockton,Stockton,CA,95210,3,38.0036,-121.288,NULL,NULL,22157,NULL,7834.5,1409,0.1767,0.1327,0.3676,0.0809,0.0078,0.0206,NULL
Heald College-Hayward,Hayward,CA,94545,3,37.6366,-122.1149,NULL,NULL,23574,NULL,7834.5,1244,0.1101,0.1841,0.3465,0.1278,0.0064,0.0442,NULL
CRU Institute,Garden Grove,CA,92845-4321,3,33.7901,-118.0292,NULL,NULL,NULL,NULL,9500,55,0.3091,0.2182,0.3818,0,0,0,National Accrediting Commission of Career Arts and Sciences
Modern Technology School,Fountain Valley,CA,92708-9821,3,33.7231,-117.9188,0.7625,NULL,NULL,NULL,12416,83,0.3373,0,0.3855,0.0843,0,0.0602,Accrediting Commission of Career Schools and Colleges
National Career Education,Rancho Cordova,CA,95670,3,38.5896,-121.2732,NULL,NULL,NULL,NULL,8023,51,0.5294,0.1765,0.1961,0.0392,0,0.0196,Accrediting Commission of Career Schools and Colleges
Everest College-Anaheim,Anaheim,CA,92801-5229,3,33.8393,-117.9598,NULL,NULL,25872,NULL,9500,574,0.1463,0.054,0.6376,0.0697,0.0139,0.0139,Accrediting Commission of Career Schools and Colleges
Thuy Princess Beauty College,Pomona,CA,91766,3,34.0577,-117.7485,NULL,NULL,NULL,NULL,NULL,77,0,0,0.8831,0.0909,0,0,National Accrediting Commission of Career Arts and Sciences
